id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1645,mysql,1,1500,100000,1000000,21.1,a81d770,4739.34,319.7,2022-03-25 09:40:39
1646,mysql,0,10,100000,1000000,194.2,a81d770,514.93,19.42,2022-03-25 09:43:58
1647,mongodb,0,100,100000,1000000,1.8,a81d770,55555.56,1.8,2022-03-25 09:44:10
1648,postgres,1,300,100000,1000000,9.78,a81d770,10224.95,29.37,2022-03-25 09:45:57
1649,mongodb,0,25,100000,1000000,3.31,a81d770,30211.48,0.83,2022-03-25 09:46:11
1650,mongodb,0,2,100000,1000000,28.3,a81d770,3533.57,0.57,2022-03-25 09:46:49
1651,mongodb,1,5,100000,1000000,13.14,a81d770,7610.35,0.66,2022-03-25 09:47:24
1652,mysql,1,25,100000,1000000,78.18,a81d770,1279.1,19.55,2022-03-25 09:49:02
1653,postgres,1,500,100000,1000000,10.78,a81d770,9276.44,53.9,2022-03-25 09:50:49
1654,postgres,0,100,100000,1000000,8.7,a81d770,11494.25,8.7,2022-03-25 09:52:13
1655,mysql,0,300,100000,1000000,10.39,a81d770,9624.64,31.2,2022-03-25 09:52:28
1656,postgres,1,2,100000,1000000,212.55,a81d770,470.48,4.25,2022-03-25 09:57:39
1657,postgres,0,50,100000,1000000,14.21,a81d770,7037.3,7.11,2022-03-28 08:54:45
1658,mongodb,1,2,100000,1000000,32.76,a81d770,3052.5,0.66,2022-03-28 08:55:41
1659,mongodb,1,25,100000,1000000,4.8,a81d770,20833.33,1.2,2022-03-28 08:56:07
1660,postgres,1,10,100000,1000000,45.74,a81d770,2186.27,4.57,2022-03-28 08:58:31
1661,mysql,0,1000,100000,1000000,5.16,a81d770,19379.84,51.6,2022-03-28 08:58:42
1662,mongodb,1,1000,100000,1000000,2.39,a81d770,41841.0,23.9,2022-03-28 08:59:04
1663,postgres,1,25,100000,1000000,200.49,a81d770,498.78,50.12,2022-03-28 09:04:01
1664,mysql,0,2,100000,1000000,762.34,a81d770,131.18,15.25,2022-03-28 09:16:48
1665,mongodb,0,2000,100000,1000000,1.02,a81d770,98039.22,20.4,2022-03-28 09:16:59
1666,postgres,0,2,100000,1000000,214.5,a81d770,466.2,4.29,2022-03-28 09:21:49
1667,mongodb,0,500,100000,1000000,1.25,a81d770,80000.0,6.25,2022-03-28 09:22:01
1668,mongodb,0,2,100000,1000000,31.28,a81d770,3196.93,0.63,2022-03-28 09:22:41
1669,mysql,1,500,100000,1000000,20.83,a81d770,4800.77,104.15,2022-03-28 09:23:22
1670,mysql,0,200,100000,1000000,17.71,a81d770,5646.53,35.42,2022-03-28 09:23:45
1671,mysql,1,2,100000,1000000,822.84,a81d770,121.53,16.46,2022-03-28 09:37:47
1672,postgres,0,300,100000,1000000,8.3,a81d770,12048.19,24.92,2022-03-28 09:39:10
1673,postgres,0,1000,100000,1000000,7.63,a81d770,13106.16,76.3,2022-03-28 09:40:32
